;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
499;NA;Nägeli;Hanspeter;Dr. med. vet.;Ord. Professor für Toxikologie;VSF;Link;NA;Nägeli, Hanspeter
500;NA;Natter;Martin;Dr.;Ord. Professor für Marketing;WWF;Link;NA;Natter, Martin
501;NA;Naumann;Barbara;Dr. phil.;Ord. Professorin für Neuere deutsche Literatur;PHF;Link;NA;Naumann, Barbara
502;NA;Netzer;Nick;Dr. rer. pol.;Ord. Professor für Mikroökonomik;WWF;Link;NA;Netzer, Nick
503;NA;Neuhauss;Stephan;Dr.;Ord. Professor für Neurobiologie;MEF;Link;NA;Neuhauss, Stephan
504;NA;Nevado Blazquez;Cristina;Dr.;Ord. Professorin für Organische Chemie;MNF;Link;NA;Nevado Blazquez, Cristina
505;NA;Nikeghbali;Ashkan;Dr.;Ord. Professor für Finanzmathematik;MNF;Link;NA;Nikeghbali, Ashkan
506;NA;Nitsch;Roger M.;Dr. med.;Ord. Professor für Molekulare Psychiatrie;MEF;Link;NA;Nitsch, Roger M.
507;NA;Nyborg;Kjell G.;Dr.;Ord. Professor für Corporate Finance;WWF;Link;NA;Nyborg, Kjell G.
508;NA;Oberauer;Klaus;Dr.;Ord. Professor für Allgemeine Psychologie mit dem Schwerpunkt Kognitive Psychologie;PHF;Link;NA;Oberauer, Klaus
509;NA;Oesch;Matthias;Dr.;Ord. Professor für Öffentliches Recht, Europarecht und Wirtschaftsvölkerrecht;RWF;Link;NA;Oesch, Matthias
510;NA;Oesch;David;Dr.;Ord. Professor für Financial Accounting;WWF;Link;NA;Oesch, David
511;NA;Ongena;Steven;Dr.;Ord. Professor für Banking;WWF;Link;NA;Ongena, Steven
512;NA;Opitz;Peter;Dr. theol., Dekan der Theologischen Fakultät;Ord. Professor für Kirchengeschichte von der Reformationszeit bis zur Gegenwart;THF;Link;NA;Opitz, Peter
513;NA;Ossa;Ralph;Dr.;Ord. Professor für Ökonomik der Globalisierung und der Schwellenländer, gestiftet vom UBS International Center of Economics in Society;WWF;Link;NA;Ossa, Ralph
514;NA;Osterwalder;Jürg;Dr. sc. nat.;Ord. Professor für Experimentalphysik;MNF;Link;NA;Osterwalder, Jürg
515;NA;Pajarola;Renato;Dr.;Ord. Professor für Multimedia und Visualisierung;WWF;Link;NA;Pajarola, Renato
516;NA;Paolella;Marc;Dr. sc. pol.;Ord. Professor für Empirical Finance;WWF;Link;NA;Paolella, Marc
517;NA;Pape;Hans-Christoph;Dr.;Ord. Professor für Traumatologie des Bewegungsapparates;MEF;Link;NA;Pape, Hans-Christoph
518;NA;Patzke;Greta R.;Dr.;Ord. Professorin für Chemie;MNF;Link;NA;Patzke, Greta R.
519;NA;Pelkmans;Lucas;Dr.;Ord. Professor für Molekularbiologie, Ernst-Hadorn-Stiftungsprofessur;MNF;Link;NA;Pelkmans, Lucas
520;NA;Peri;Francesca;Dr.;Ord. Professorin für Zelluläre Entwicklungsbiologie;MNF;Link;NA;Peri, Francesca
521;NA;Pernthaler;Jakob;Dr.;Ord. Professor für Aquatische Mikrobiologie;MNF;Link;NA;Pernthaler, Jakob
522;NA;Petchey;Owen L.;Dr.;Ord. Professor für Integrative Ökologie;MNF;Link;NA;Petchey, Owen L.
523;NA;Petko;Dominik;Dr.;Ord. Professor für Allgemeine Didaktik und Mediendidaktik;PHF;Link;NA;Petko, Dominik
524;NA;Pfaff;Dieter;Dr.;Ord. Professor für Betriebswirtschaftslehre;WWF;Link;NA;Pfaff, Dieter
525;NA;Plückthun;Andreas;Dr. phil.;Ord. Professor für Biochemie;MEF;Link;NA;Plückthun, Andreas
526;NA;Portmann;Wolfgang;Dr. iur.;Ord. Professor für Privat- und Arbeitsrecht;RWF;Link;NA;Portmann, Wolfgang
527;NA;Pozzi;Antonio;Dr.;Ord. Professor für Kleintierchirurgie;VSF;Link;NA;Pozzi, Antonio
528;NA;Prüssmann;Klaas P.;;Ord. Professor;MEF;Link;NA;Prüssmann, Klaas P.
529;NA;Puhan;Milo Alan;Dr.;Ord. Professor für Epidemiologie und Public Health;MEF;Link;NA;Puhan, Milo Alan
530;NA;Purves;Ross Stuart;Dr.;Ord. Professor für Geographische Informationswissenschaft;MNF;Link;NA;Purves, Ross Stuart
531;NA;Pycia;Marek G.;Dr.;Ord. Professor für Organisationsökonomik;WWF;Link;NA;Pycia, Marek G.
532;NA;Quitterer;Ursula;Dr.;Ord. Professorin für Molekulare Pharmakologie;MEF;Link;NA;Quitterer, Ursula
533;NA;Rauch;Anita;Dr.;Ord. Professorin für Medizinische Genetik;MEF;Link;NA;Rauch, Anita
534;NA;Rauhut;Heiko;Dr.;Ord. Professor für Sozialtheorie und quantitative Methoden;PHF;Link;NA;Rauhut, Heiko
535;NA;Razansky;Daniel;Dr.;Ord. Professor für Biomedizinische Bildgebung;MEF;Link;NA;Razansky, Daniel
536;NA;Reddick;Allen;Ph.D.;Ord. Professor für Englische Literatur;PHF;Link;NA;Reddick, Allen
537;NA;Regli;Luca;Dr.;Ord. Professor für Neurochirurgie;MEF;Link;NA;Regli, Luca
538;NA;Reichenbach;Roland;Dr.;Ord. Professor für Erziehungswissenschaft mit dem Schwerpunkt Allgemeine Erziehungswissenschaft;PHF;Link;NA;Reichenbach, Roland
539;NA;Reusch;Claudia;Dr.;Ord. Professorin für Innere Medizin der Kleintiere;VSF;Link;NA;Reusch, Claudia
540;NA;Reusser;Christoph;Dr.;Ord. Professor für Klassische Archäologie;PHF;Link;NA;Reusser, Christoph
541;NA;Riedweg;Christoph;Dr. phil.;Ord. Professor für Klassische Philologie / Gräzistik;PHF;Link;NA;Riedweg, Christoph
542;NA;Rieker;Peter;Dr.;"Ord. Professor für Pädagogik mit dem Schwerpunkt ""Ausserschulische Bildung und Erziehung""";PHF;Link;NA;Rieker, Peter
543;NA;Riemenschnitter;Andrea;Dr.;Ord. Professorin für Moderne Chinesische Spache und Literatur;PHF;Link;NA;Riemenschnitter, Andrea
544;NA;Riener;Robert;Dr.-Ing.;Ord. Professor für Sensomotorische Systeme;MEF;Link;NA;Riener, Robert
545;NA;Rochet;Jean-Charles;Dr.;Ord. Professor für Banking;WWF;Link;NA;Rochet, Jean-Charles
546;NA;Rogler;Gerhard;Dr. med. Dr. phil.;Ord. Professor für Gastroenterologie und Hepatologie;MEF;Link;NA;Rogler, Gerhard
547;NA;Rohrbach;Lena;Dr.;Ord. Professorin für Nordische Philologie;PHF;Link;NA;Rohrbach, Lena
548;NA;Rosemann;Thomas J.;Dr. med., Dr.;Ord. Professor für Hausarztmedizin;MEF;Link;NA;Rosemann, Thomas J.
549;NA;Rosenthal;Joachim;Dr.;Ord. Professor für Angewandte Mathematik;MNF;Link;NA;Rosenthal, Joachim
550;NA;Rössel;Jörg;Dr.;Ord. Professor für Soziologie;PHF;Link;NA;Rössel, Jörg
551;NA;Rost;Katja;Dr.;Ord. Professorin für Soziologie;PHF;Link;NA;Rost, Katja
552;NA;Ruch;Willibald;Dr.;Ord. Professor für Empirische Persönlichkeitspsychologie und Psychologische Diagnostik;PHF;Link;NA;Ruch, Willibald
553;NA;Rücker;Martin;Dr. Dr.;Ord. Professor für Mund-, Kiefer- und Gesichtschirurgie;MEF;Link;NA;Rücker, Martin
554;NA;Rudolph;Ulrich;Dr.;Ord. Professor für Islamwissenschaft;PHF;Link;NA;Rudolph, Ulrich
555;NA;Ruff;Christian;Dr.;Ord. Professor für Neuroeconomics and Decision Neuroscience;WWF;Link;NA;Ruff, Christian
556;NA;Rühli;Frank Jakobus;Dr. med., PhD;Ord. Professor für Evolutionäre Medizin;MEF;Link;NA;Rühli, Frank Jakobus
557;NA;Ruschitzka;Frank;Dr. med.;Ord. Professor für Kardiologie;MEF;Link;NA;Ruschitzka, Frank
558;NA;Saporiti;Katia;Dr. phil.;Ord. Professorin für Philosophie mit Berücksichtigung der Geschichte der Philosophie;PHF;Link;NA;Saporiti, Katia
559;NA;Sarasin;Philipp;Dr.;Ord. Professor für Allgemeine und Schweizer Geschichte der Neuzeit;PHF;Link;NA;Sarasin, Philipp
560;NA;Sasse;Sylvia;Dr.;Ord. Professorin für Slavische Literaturwissenschaft;PHF;Link;NA;Sasse, Sylvia
561;NA;Sauter;Stefan A.;Dr.;Ord. Professor für Angewandte Mathematik;MNF;Link;NA;Sauter, Stefan A.
562;NA;Schaber;Peter;Dr. phil.;Ord. Professor für Ethik mit Schwerpunkt in angewandter Ethik;PHF;Link;NA;Schaber, Peter
563;NA;Schaepman;Michael;Dr., Prorektor Veterinärmedizin-Naturwissenschaften;Ord. Professor für Fernerkundung;MNF;Link;NA;Schaepman, Michael
564;NA;Schäfer;Mike S.;Dr.;Ord. Professor für Publizistik- und Kommunikationswissenschaft mit dem Schwerpunkt Wissenschafts-, Krisen- und Risikokommunikation;PHF;Link;NA;Schäfer, Mike S.
565;NA;Scherer;Andreas;Dr.;Ord. Professor für Grundlagen der Betriebswirtschaftslehre und Theorien der Unternehmung;WWF;Link;NA;Scherer, Andreas
566;NA;Scheuer;Florian;Dr.;Ord. Professor für Economics of Institutions, gestiftet vom UBS International Center of Economics in Society;WWF;Link;NA;Scheuer, Florian
567;NA;Schiestl;Florian P.;Dr.;Ord. Professor für Evolutionäre Botanik;MNF;Link;NA;Schiestl, Florian P.
568;NA;Schilling;Andreas;Dr. sc. nat.;Ord. Professor für Experimentalphysik;MNF;Link;NA;Schilling, Andreas
569;NA;Schlag;Thomas;Dr.;Ord. Professor für Praktische Theologie mit Schwerpunkt Religionspädagogik und Kybernetik;THF;Link;NA;Schlag, Thomas
570;NA;Schlein;Benjamin;Dr.;Ord. Professor für Angewandte Mathematik;MNF;Link;NA;Schlein, Benjamin
571;NA;Schmedders;Karl;Dr.;Ord. Professor für Quantitative Betriebswirtschaftslehre;WWF;Link;NA;Schmedders, Karl
572;NA;Schmid;Konrad;Dr. theol.;Ord. Professor für Alttestamentliche Wissenschaft und Frühjüdische Religionsgeschichte;THF;Link;NA;Schmid, Konrad
573;NA;Schmidt;Michael W.I.;Dr.;Ord. Professor für Physische Geographie;MNF;Link;NA;Schmidt, Michael W.I.
574;NA;Schmidt;Max W.;Dr. sc. nat.;Ord. Professor für Kristallingeologie;MNF;Link;NA;Schmidt, Max W.
575;NA;Schmutzler;Armin;Dr.;Ord. Professor für Industrieökonomik, Verkehrspolitik und Umweltökonomik;WWF;Link;NA;Schmutzler, Armin
576;NA;Schneider;Sabine;Dr.;Ord. Professorin für Neuere deutsche Literatur;PHF;Link;NA;Schneider, Sabine
577;NA;Schnyder;Mireille;Dr.;Ord. Professorin für Ältere Deutsche Literaturwissenschaft;PHF;Link;NA;Schnyder, Mireille
578;NA;Scholz;Sebastian;Dr.;Ord. Professor für Allgemeine Geschichte des Mittelalters;PHF;Link;NA;Scholz, Sebastian
579;NA;Scholz;Urte;Dr.;Ord. Professorin für Angewandte Sozialpsychologie;PHF;Link;NA;Scholz, Urte
580;NA;Schreier;Daniel;Dr.;Ord. Professor für Englische Sprachwissenschaft;PHF;Link;NA;Schreier, Daniel
581;NA;Schroeder;Viktor;Dr.;Ord. Professor für Mathematik;MNF;Link;NA;Schroeder, Viktor
582;NA;Schuler;Benjamin;Dr.;Ord. Professor für Molekulare Biophysik;MNF;Link;NA;Schuler, Benjamin
583;NA;Schwabe;Gerhard;Dr.;Ord. Professor für Informationsmanagement;WWF;Link;NA;Schwabe, Gerhard
584;NA;Schwarzenegger;Christian;Dr. iur., Prorektor Rechts- und Wirtschaftswissenschaften;Ord. Professor für Strafrecht, Strafprozessrecht und Kriminologie;RWF;Link;NA;Schwarzenegger, Christian
585;NA;Schwarzwald;Colin;Dr. med. vet., PhD, Dipl. ACVIM & ECEIM;Ord. Professor für Innere Medizin des Pferdes;VSF;Link;NA;Schwarzwald, Colin
586;NA;Seeger;Stefan;Dr.;Ord. Professor für Physikalische Chemie;MNF;Link;NA;Seeger, Stefan
587;NA;Seibert;Jan;Dr.;Ord. Professor für Physische Geographie;MNF;Link;NA;Seibert, Jan
588;NA;Seidl;David;Dr.;Ord. Professor für Betriebswirtschaftslehre, insbesondere Organisation und Management;WWF;Link;NA;Seidl, David
589;NA;Seifritz;Erich;Dr. med.;Ord. Professor für Psychiatrie;MEF;Link;NA;Seifritz, Erich
590;NA;Senn;Marcel;Dr. iur.;Ord. Professor für Rechtsgeschichte, Juristische Zeitgeschichte und Rechtsphilosophie;RWF;Link;NA;Senn, Marcel
591;NA;Sethe;Rolf;Dr.;Ord. Professor für Privat-, Handels- und Wirtschaftsrecht;RWF;Link;NA;Sethe, Rolf
592;NA;Shanahan;Michael J.;Dr.;Ord. Professor für Soziologie der Entwicklung von Kindern und Jugendlichen;PHF;Link;NA;Shanahan, Michael J.
593;NA;Shimizu;Kentaro;Dr.;Ord. Professor für Evolutionäre und Ökologische Genomik;MNF;Link;NA;Shimizu, Kentaro
594;NA;Siegert;Gabriele;Dr., Prorektorin Geistes- und Sozialwissenschaften;Ord. Professorin für Publizistikwissenschaft mit Schwerpunkt Medienökonomie;PHF;Link;NA;Siegert, Gabriele
595;NA;Sigel;Roland K.O.;Dr. rer. nat., Dekan der Mathem.-naturwissenschaftl. Fak.;Ord. Professor für Chemie, insbesondere Bioanorganische Chemie;MNF;Link;NA;Sigel, Roland K.O.
596;NA;Simonek;Madeleine;Dr.;Ord. Professorin für Schweizerisches und Internationales Steuerrecht;RWF;Link;NA;Simonek, Madeleine
597;NA;Sommer;Lukas;Dr.;Ord. Professor für Anatomie;MEF;Link;NA;Sommer, Lukas
598;NA;Spahn;Donat R.;Dr.;Ord. Professor für Anästhesiologie;MEF;Link;NA;Spahn, Donat R.
599;NA;Stark;Elisabeth;Dr.;Ord. Professorin für Romanische Philologie unter besonderer Berücksichtigung der Französischen Sprachwissenschaft;PHF;Link;NA;Stark, Elisabeth
600;NA;Steenbergen;Marco;Dr.;Ord. Professor für Methoden der Politikwissenschaft;PHF;Link;NA;Steenbergen, Marco
601;NA;Steineck;Raji C.;Dr.;Ord. Professor für Japanologie;PHF;Link;NA;Steineck, Raji C.
602;NA;Steinfeld;Robert;Dr. Dr. med.;Ord. Professor für Pädiatrische Neurologie;MEF;Link;NA;Steinfeld, Robert
603;NA;Stephan;Klaas Enno;Dr.;Ord. Professor für Translational Neuromodeling;MEF;Link;NA;Stephan, Klaas Enno
604;NA;Stephan;Roger;Dr. med. vet., Dekan der Vetsuisse-Fakultät;Ord. Professor für Tierärztliche Lebensmittelsicherheit und -hygiene;VSF;Link;NA;Stephan, Roger
605;NA;Stiller;Burkhard;Dr.;Ord. Professor für Verteilte Systeme und Kommunikation;WWF;Link;NA;Stiller, Burkhard
606;NA;Stippich;Christoph;Dr.;Ord. Professor für Neuroradiologie;MEF;Link;NA;Stippich, Christoph
607;NA;Stoeckli;Esther;Dr.;Ord. Professorin für Entwicklungsneurobiologie;MNF;Link;NA;Stoeckli, Esther
608;NA;Stoffel;Markus;Dr. med.;Ord. Professor für Stoffwechselerkrankungen;MEF;Link;NA;Stoffel, Markus
609;NA;Strobl;Carolin;Dr.;Ord. Professorin für Psychologische Methodenlehre, Evaluation und Statistik;PHF;Link;NA;Strobl, Carolin
610;NA;Sulser;Tullio;Dr.;Ord. Professor für Urologie;MEF;Link;NA;Sulser, Tullio
611;NA;Szydlik;Marc;Dr.;Ord. Professor für Soziologie;PHF;Link;NA;Szydlik, Marc
612;NA;Tag;Brigitte;Dr. iur., Dekanin der Rechtswissenschaftlichen Fakultät;Ord. Professorin für Strafrecht, Strafprozessrecht und Medizinrecht;RWF;Link;NA;Tag, Brigitte
613;NA;Teuscher;Simon;Dr.;Ord. Professor für Allgemeine Geschichte des Mittelalters;PHF;Link;NA;Teuscher, Simon
614;NA;Thali;Michael;Dr.;Ord. Professor für Rechtsmedizin;MEF;Link;NA;Thali, Michael
615;NA;Thier;Andreas;Dr. iur.;Ord. Professor für Rechtsgeschichte, Kirchenrecht, Rechtstheorie und Privatrecht;RWF;Link;NA;Thier, Andreas
616;NA;Thomsen;Hans B.;Dr.;Ord. Professor für Kunstgeschichte Ostasiens;PHF;Link;NA;Thomsen, Hans B.
617;NA;Tietz;Christiane;Dr.;Ord. Professorin für Systematische Theologie;THF;Link;NA;Tietz, Christiane
618;NA;Tomkowiak;Ingrid;Dr. phil.;Ord. Professorin für Populäre Literaturen und Medien mit dem Schwerpunkt Kinder- und Jugendmedien;PHF;Link;NA;Tomkowiak, Ingrid
619;NA;Trachsler;Richard;Dr. phil.;Ord. Professor für Romanische Philologie - Französische Literatur des Mittelalters;PHF;Link;NA;Trachsler, Richard
620;NA;Trkola;Alexandra;Dr.;Ord. Professorin für Medizinische Virologie;MEF;Link;NA;Trkola, Alexandra
621;NA;Tröhler;Margrit;Dr. phil.;Ord. Professorin für Filmwissenschaft;PHF;Link;NA;Tröhler, Margrit
622;NA;Tschofen;Bernhard;Dr.;Ord. Professor für Populäre Kulturen mit dem Schwerpunkt Kulturwissenschaftliche Raumforschung;PHF;Link;NA;Tschofen, Bernhard
623;NA;Uehlinger;Christoph;Dr.;Ord. Professor für Allgemeine Religionsgeschichte und Religionswissenschaft;THF;Link;NA;Uehlinger, Christoph
624;NA;Uhlmann;Felix;Dr.;Ord. Professor für Staats- und Verwaltungsrecht sowie Rechtsetzungslehre;RWF;Link;NA;Uhlmann, Felix
625;NA;Ulcigrai;Corinna;Dr.;Ord. Professorin für Reine Mathematik;MNF;Link;NA;Ulcigrai, Corinna
626;NA;Ullrich;Oliver;Dr.;Ord. Professor für Anatomie;MEF;Link;NA;Ullrich, Oliver
627;NA;Verrey;François;Dr. med.;Ord. Professor für Physiologie;MEF;Link;NA;Verrey, François
628;NA;Vogt;Hans-Ueli;Dr. iur., LL.M.;Ord. Professor für Privat- und Wirtschaftsrecht;RWF;Link;NA;Vogt, Hans-Ueli
629;NA;Volk;Martin;Dr. phil.;Ord. Professor für Computerlinguistik;PHF;Link;NA;Volk, Martin
630;NA;von der Crone;Hans Caspar;Dr. iur., LL.M.;Ord. Professor für Privat- und Wirtschaftsrecht;RWF;Link;NA;von der Crone, Hans Caspar
631;NA;von Eckardstein;Arnold;Dr. med.;Ord. Professor für Klinische Chemie;MEF;Link;NA;von Eckardstein, Arnold
632;NA;von Känel;Roland;Dr.;Ord. Professor für Konsiliar-/Liaisonpsychiatrie und Psychosomatik;MEF;Link;NA;von Känel, Roland
633;NA;von Mering;Christian;Dr.;Ord. Professor für Computergestützte Biologie;MNF;Link;NA;von Mering, Christian
634;NA;Voth;Hans-Joachim;Dr.;Ord. Professor für Makroökonomik und Finanzmärkte, gestiftet vom UBS International Center of Economics in Society;WWF;Link;NA;Voth, Hans-Joachim
635;NA;Wagner;Carsten Alexander;Dr. med.;Ord. Professor für Physiologie;MEF;Link;NA;Wagner, Carsten Alexander
636;NA;Wagner;Andreas;Dr.;Ord. Professor für Bioinformatik;MEF;Link;NA;Wagner, Andreas
637;NA;Walitza;Susanne;Dr. med., Dipl. - Psych;Ord. Professorin für Kinder- und Jugendpsychiatrie;MEF;Link;NA;Walitza, Susanne
638;NA;Walter;Stefanie;Dr.;Ord. Professorin für Internationale Beziehungen und Politische Ökonomie;PHF;Link;NA;Walter, Stefanie
639;NA;Weber;Roberto A.;Dr.;Ord. Professor für Behavioral Economics;WWF;Link;NA;Weber, Roberto A.
640;NA;Weber;Rainer;Dr. med., Dekan der Medizinischen Fakultät;Ord. Professor für Klinische Infektiologie;MEF;Link;NA;Weber, Rainer
641;NA;Weddigen;Tristan;Dr.;Ord. Professor für Kunstgeschichte der Neuzeit;PHF;Link;NA;Weddigen, Tristan
642;NA;Weibel;Robert;Dr.;Ord. Professor für Geographie, speziell geographische Informationswissenschaft;MNF;Link;NA;Weibel, Robert
643;NA;Weller;Michael;Dr. med.;Ord. Professor für Neurologie;MEF;Link;NA;Weller, Michael
644;NA;Wenger;Roland H.;Dr. phil. nat.;Ord. Professor für Physiologie;MEF;Link;NA;Wenger, Roland H.
645;NA;Winkelmann;Rainer;Dr. oec. publ.;Ord. Professor für Statistik und Empirische Wirtschaftsforschung;WWF;Link;NA;Winkelmann, Rainer
646;NA;Wirth;Werner;Dr.;Ord. Professor für Publizistikwissenschaft, Schwerpunkt Empirische Kommunikations- und Medienforschung;PHF;Link;NA;Wirth, Werner
647;NA;Witt;Claudia;Dr. med.;Ord. Professorin für Komplementär- und Integrative Medizin;MEF;Link;NA;Witt, Claudia
648;NA;Woitek;Ulrich;Dr. oec. publ;Ord. Professor für Neuere Wirtschaftsgeschichte in Verbindung mit Volkswirtschaftslehre;WWF;Link;NA;Woitek, Ulrich
649;NA;Wolf;Michael;Dr.;Ord. Professor für Ökonometrie und Angewandte Statistik;WWF;Link;NA;Wolf, Michael
650;NA;Wüthrich;Rudolf P.;Dr. med.;Ord. Professor für Innere Medizin, speziell Nephrologie;MEF;Link;NA;Wüthrich, Rudolf P.
651;NA;Yanagizawa-Drott;David;Dr.;Ord. Professor für Development and Emerging Markets;WWF;Link;NA;Yanagizawa-Drott, David
652;NA;Zeilhofer;Hanns U.;Dr. med.;Ord. Professor für Pharmakologie;MEF;Link;NA;Zeilhofer, Hanns U.
653;NA;Zey;Claudia;Dr.;Ord. Professorin für Allgemeine Geschichte des Mittelalters;PHF;Link;NA;Zey, Claudia
654;NA;Zimmermann;Harm-Peer;Dr.;Ord. Professor für Populäre Kulturen mit dem Schwerpunkt Populäre Literaturen und Medien;PHF;Link;NA;Zimmermann, Harm-Peer
655;NA;Zimmermann;Roland;Dr. med.;Ord. Professor für Geburtshilfe;MEF;Link;NA;Zimmermann, Roland
656;NA;Zipfel;Cyril;Dr.;Ord. Professor für Molekulare und Zelluläre Pflanzenphysiologie;MNF;Link;NA;Zipfel, Cyril
657;NA;Zollikofer;Christoph;Dr.;Ord. Professor für Anthropologie;MNF;Link;NA;Zollikofer, Christoph
658;NA;Zweimüller;Josef;Dr. rer. soc. oec.;Ord. Professor für Volkswirtschaftslehre mit dem Schwerpunkt Makro-Ökonomik;WWF;Link;NA;Zweimüller, Josef
659;NA;NA;;NA;NA;WWF;NA;NA;Alós-Ferrer, Carlos
660;NA;NA;;NA;NA;VSF;NA;NA;Altmeyer, Matthias
661;NA;NA;;NA;NA;WWF;NA;NA;Brenøe, Anne A.
662;NA;NA;;NA;NA;MEF;NA;NA;Camici, Giovanni G.
663;NA;NA;;NA;NA;MEF;NA;NA;Ernst, Konrad
664;NA;NA;;NA;NA;MEF;NA;NA;Flück, Martin
665;NA;NA;;NA;NA;MNF;NA;NA;Holland, Jason Philip
666;NA;NA;;NA;NA;PHF;NA;NA;Jarren, Otfried
667;NA;NA;;NA;NA;PHF;NA;NA;Keller, Kristina Hildegard
668;NA;NA;;NA;NA;MEF;NA;NA;Kollias, Spyridon
669;NA;NA;;NA;NA;MEF;NA;NA;Kratzer, Adelgunde
670;NA;NA;;NA;NA;andere;NA;NA;Löwe, Christiane
671;NA;NA;;NA;NA;MEF;NA;NA;Maake, Caroline
672;NA;NA;;NA;NA;VSF;NA;NA;Mächler, Hans
673;NA;NA;;NA;NA;MEF;NA;NA;Nombela, Arrieta César
674;NA;NA;;NA;NA;MEF;NA;NA;Paul, Mitchell
675;NA;NA;;NA;NA;MEF;NA;NA;Polymenidou, Magdalini
676;NA;NA;;NA;NA;MEF;NA;NA;Sander, Peter
677;NA;NA;;NA;NA;PHF;NA;NA;Schaber, Peter (Empfängerin: Deplazes Zemp, Anna)
678;NA;NA;;NA;NA;MEF;NA;NA;Seeger, Markus
679;NA;NA;;NA;NA;MEF;NA;NA;Senti, Gabriela
680;NA;NA;;NA;NA;MNF;NA;NA;Soluyanov, Alexey
681;NA;NA;;NA;NA;MEF;NA;NA;Sven, Jan
682;NA;NA;;NA;NA;andere;NA;NA;Universität Zürich
683;NA;NA;;NA;NA;VSF;NA;NA;von Rechenberg, Brigitte
684;NA;NA;;NA;NA;VSF;NA;NA;Weishaupt, Michael
685;NA;NA;;NA;NA;RWF;NA;NA;Wipf, Peter
686;NA;NA;;NA;NA;MEF;NA;NA;Zenz, Maja
